47.5	21.5
50.5	20.5
50	20
46	17.5
51	15.5
47	16.5
48.5	15.5
51	14.5
45.5	18
45	17.5
46.5	15
50.5	12.5
46	16
52.5	13.5
48	14.5
47	18.5
48.5	20.5
52	16.5
88.0	38.3
90.1	40.1
91.9	39.8
91.7	38.3
86.2	38.1
88.9	38.2
36.1	46.5
34.5	45.6
37.0	49.2
37.7	47.0
37.8	48.6
39.1	48.0
47.3	56.1
45.7	54.9
48.4	54.5
